Facility Name,Sample Point Type,PWS ID,PWS Name,Facility Water Type,Latitude,Longitude,EPA Region,State Territory or Tribe,Population Served,6:2 FTS,8:2 FTS,ADONA,HFPO-DA,NEtFOSAA,PFBA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFMPA,PFNA,PFOA,PFOS,PFPeA,PFPeS,PFUnA,Grand Total
E. TREATMENT PLANT,EP,MN1020017,Coon Rapids,GW-Groundwater,45.175223,-93.309701,05, MN,"64,000",,,,,,11.2,,,,,,,,,,,,,,11.2
E02,EP,MN1190002,Burnsville,"MX-Any combination of GW, SW, and GU",44.759319,-93.279243,05, MN,"61,747",,,,,,25.5,,,,,,,,,,,,,,25.5
EAGLE POINT TANK FARM,EP,NJ0820301,EAGLE POINT TANK FARM,GW-Groundwater,39.861571,-75.132975,02, NJ,90,,,,,,,,,,,,,,4.3,,,,,,4.3
East Brunswick Consecutive Connection,EP,NJ1223001,SOUTH RIVER W DEPT,SW-Surface Water,40.445481,-74.378419,02, NJ,"16,000",,,,,,,,,,,8.4,,,,4.8,4.1,3,,,20.3
East Cooper,EP,SC0820009,BCWSA EAST COOPER (0820009),SW-Surface Water,33.374553,-80.115006,04, SC,"11,198",,,,7,,,4.2,,,3,6.3,,,,5.8,6.8,7.5,,,40.6
East Daviess County Intertie,EP,KY0300387,S E DAVIESS CO WATER DISTRICT,GW-Groundwater,37.72158,-87.195584,04, KY,"33,655",,,,,,,,,,,,,,,4,,,,,4
EAST END WELLS,EP,PA7360099,NEW HOLLAND BOROUGH,GW-Groundwater,40.101494,-76.084881,03, PA,"5,500",,,,,,,4.5,,,3.7,7.9,4,,,,8.1,8.5,,,36.7
EAST MONTANA WATER SYSTEM,EP,TX0710178,EAST MONTANA WATER SYSTEM,SW-Surface Water,31.852872,-106.158058,06, TX,"6,513",,,,,,5.7,3.1,,,,4.3,,,,,,6,,,19.1
EAST MOORE WATER DISTRICT,EP,NC5063011,EAST MOORE WATER DISTRICT,GW-Groundwater,35.300575,-79.351708,04, NC,"7,990",,,,,,6.6,,,,,3.8,,,,,6.8,3.9,,,21.1
EAST MOORE WATER DISTRICT,,,,SW-Surface Water,35.300575,-79.351708,04, NC,"7,990",,,,,,14.8,6.4,,,,10.3,,,,9.7,17.3,10.2,,,68.7
East Plant,EP,FL4500145,BOYNTON BEACH PWS,GW-Groundwater,26.531281,-80.063703,04, FL,"112,000",,,,,,6.4,7.4,,,,5.3,6.2,,,8.2,23,8.1,,,64.6
East Point Water Plant,EP,GA1210003,EAST POINT,SW-Surface Water,33.675231,-84.476203,04, GA,"33,712",,,,,,8.3,7.2,,,4,14,,,,9.3,6.4,13.8,,,63
East Side WTP,EP,TX0570004,DALLAS WATER UTILITY,SW-Surface Water,32.738972,-96.778007,06, TX,"1,321,740",,,,,,10.3,4.2,,,,5.3,,,,,,6.1,,,25.9
East Surface Water Treatment Plant,EP,LA1089001,ST CHARLES PARISH DEPT OF WATERWORKS,SW-Surface Water,29.96161,-90.313224,06, LA,"52,879",,,,,,7.5,,,,,,,,,,,,,,7.5
Eastside UD Connection,EP,TN0000117,CLEVELAND UTILITIES,SW-Surface Water,35.185664,-84.887821,04, TN,"87,960",,,,,,5.5,,,,,,,,,,,,,,5.5
EASTSIDE UTILITY DISTRICT,EP,TN0000219,EASTSIDE UTILITY DISTRICT,SW-Surface Water,35.056852,-85.054158,04, TN,"56,294",,,,,,9.5,,,,,,,,,,,,,,9.5
Eastside Well,EP,WA5363750,OMAK CITY OF,GW-Groundwater,48.413286,-119.515747,10, WA,"4,940",,,,,,,,,,,,,,,,,3.4,,,3.4
Eastvale WTP,EP,PA5040012,BEAVER FALLS MUNI AUTH,SW-Surface Water,40.762407,-80.340599,03, PA,"49,500",,,,,,,6,,,,3.9,,,,,,4.2,,,14.1
Edmond WTP,EP,OK1020723,EDMOND PWA - ARCADIA,SW-Surface Water,35.665319,-97.47382,06, OK,"79,408",,,,,,,4.3,,,,5.2,,,,,4.9,4.3,,,18.7
EJ Hardinville WC Connection #1,EP,IL0790010,E J WATER COOP,GW-Groundwater,39.04411,-88.317216,05, IL,"23,944",,,,,,6.2,,,,,,,,,,,,,,6.2
El Paso Water Intertie (SW),EP,TX0710154,LOWER VALLEY WATER DISTRICT,SW-Surface Water,31.555325,-106.042537,06, TX,"59,049",,,,,,5.3,,,,,3.4,,,,,,3.3,,,12
Elba Heights Plant,EP,FL6510424,DADE CITY WATER DEPT,GW-Groundwater,28.361821,-82.198537,04, FL,"15,561",,,,,6.9,,,,,,,,,,,,,,,6.9
"ELIZABETHTOWN, TOWN OF",EP,NC0309010,"ELIZABETHTOWN, TOWN OF",GW-Groundwater,34.623456,-78.611401,04, NC,"5,311",,,,,,,,,,,,5,,,,,,,,5
Elkins Lane Treatment Plant,EP,NJ1212001,MILLTOWN W DEPT,SW-Surface Water,40.450427,-74.435092,02, NJ,"7,000",,,,,,,,,,,5.4,,,,7.5,5.4,3.6,,,21.9
Ellicott Springs Subdivision WTP,EP,CO0121125,CHEROKEE MD,GW-Groundwater,38.894513,-104.532122,08, CO,"23,000",,,,,,,,,,,,,,,,,3,,,3
Ellwood - New Beaver WTP,EP,PA6370011,PA AMER WATER CO ELLWOOD CTY,SW-Surface Water,40.836292,-80.223084,03, PA,"17,200",,,,,,6,10.6,,,,4.3,,,,,,4.6,,,25.5
Eloisewood WTP,EP,FL6531992,WINTER HAVEN WATER DEPARTMENT,GW-Groundwater,28.013116,-81.700668,04, FL,"87,537",,,,,,,4.9,,,,,4.5,,,,5.4,,,,14.8
EMBREEVILLE,EP,PA1150089,AQUA PA SPRING RUN,GW-Groundwater,39.948672,-75.7241,03, PA,"8,151",,,,,,,,,,,,,,5.2,,,,,,5.2
EMWD Intertie,EP,NC0363108,MOORE CO PUBLIC UTIL-PINEHURST,SW-Surface Water,35.184643,-79.462741,04, NC,"29,509",,,,,,,,,,,5,,,,4.6,8.4,4.2,,,22.2
END OF BATTLEBELL RD,EP,TX1010159,HARRIS COUNTY WCID 1,SW-Surface Water,29.817018,-95.054435,06, TX,"7,539",,,,,,7.4,,,,,3.3,,,,,,,,,10.7
Englishtown Water Dept.,EP,NJ1312001,ENGLISHTOWN WATER DEPT,"MX-Any combination of GW, SW, and GU",40.297085,-74.360715,02, NJ,-,,,,,,,,,,,6.4,,,,5.3,,5.6,,,17.3
Entry Point,EP,NY1302794,GREENFIELD WATER DISTRICT,GW-Groundwater,41.771163,-73.888592,02, NY,"1,050",,,,,,,,,,,,,,,,5.7,,,,5.7
Entry Point,,OR4191508,RUCH ELEMENTARY SD 549,GW-Groundwater,42.140414,-123.111983,10, OR,200,,,,,,,14.8,,,3.7,13.9,33.4,,,9.2,10.6,11.8,9.8,,107.2
Entry Point,,PA3060083,WYOMISSING BORO WATER SYSTEM,SW-Surface Water,40.330921,-75.967422,03, PA,"8,500",,,,,,,4,,,,,,,,,,3.2,,,7.2
Entry Point 1,EP,OH2500103,BEXLEY CITY PWS,SW-Surface Water,39.964121,-82.933658,05, OH,"14,250",,,,,,11.7,8.3,,,,12.2,,,,5.6,,11.4,,,49.2
Entry Point 2,EP,OH2500103,BEXLEY CITY PWS,SW-Surface Water,39.964121,-82.933658,05, OH,"14,250",,,,,,6.7,,,,,3.8,,,,,,3.5,,,14
Entry Point Facility,EP,AL0000329,SPRING VALLEY WATER AUTHORITY,SW-Surface Water,34.718745,-87.606557,04, AL,"5,328",,,,,,7.5,7.8,,,,3.1,,,,7.5,16.9,,,,42.8
Entry Point Facility,,AL0000409,"JOPPA, HULACO & RYAN WATER AUTHORITY",SW-Surface Water,34.293648,-86.55539,04, AL,"5,010",,,,,,6.9,,,,,,,,,,,,,,6.9
Entry Point Facility,,AL0000580,HIGHLAND WATER AUTHORITY,SW-Surface Water,34.075651,-85.989639,04, AL,"3,906",,,,,,16.6,51.3,,,4.1,14.3,,,,10.1,4.7,28.3,,,129.4
Entry Point Facility,,AL0000947,SARDIS CITY WATER BOARD,SW-Surface Water,34.176524,-86.116536,04, AL,"5,088",,,,,,13,3.5,,,,4,,,,,,3,,,23.5
Entry Point Facility,,FL4130089,"BAY HARBOR ISLANDS, TOWN OF",GW-Groundwater,25.88741,-80.131456,04, FL,"6,000",,,,,,8.9,3.3,,,3,5.9,,,,,12.7,6.9,,,40.7
Entry Point Facility,,FL4130970,"NORTH BAY VILLAGE, CITY OF",GW-Groundwater,25.846222,-80.149994,04, FL,"8,317",135.7,10.7,,,,19.9,6.5,,,20.8,52.9,9.1,,5.6,14.2,43.3,47.1,,,365.8
Entry Point Facility,,WI1570102,REEDSBURG WATERWORKS,GW-Groundwater,43.533774,-89.991785,05, WI,"9,984",,,,,,,,,,,,4.4,,,,,,,,4.4
Entry Point Facility,,WI2680205,HARTLAND WATERWORKS,GW-Groundwater,43.098133,-88.336864,05, WI,"9,212",,,,,,5.1,28.7,,,,11.3,3.6,,,4.4,4.6,12.3,,,70
Entry Point Facility,,WI4150526,STURGEON BAY WATERWORKS,GW-Groundwater,44.840952,-87.363398,05, WI,"9,500",,,,,,,,,,,,33.5,,,,4.2,,,,37.7
Entry Point Facility,,WI6270244,BLACK RIVER FALLS WATERWORKS,GW-Groundwater,44.299313,-90.848065,05, WI,"3,608",,,,,,6.8,,,,,,,,,,,,,,6.8
Entry Point Facility,,WI6480243,PRESCOTT WATERWORKS,GW-Groundwater,44.749844,-92.782914,05, WI,"4,258",,,,,,540,7.7,,,,8.5,24.7,,,14.4,,17.8,,,613.1
Entry Point Facility,,WI6560126,NEW RICHMOND WATERWORKS,GW-Groundwater,45.114978,-92.543156,05, WI,"8,909",,,,,,6.4,,,,,,,,,,,,,,6.4
Entry Point Facility,,WI7370162,SCHOFIELD WATERWORKS,GW-Groundwater,44.911573,-89.608058,05, WI,"2,205",,,,,,5.2,13.8,,,,7,9.7,,,4,,9,,,48.7
Entry Point Facility,,WV3303508,OHIO COUNTY PSD,SW-Surface Water,40.068822,-80.6273,03, WV,"10,220",,,,,,,3.5,,,,,4.5,,,,,,,,8
Entry Point Facility,,WV3304911,ADRIAN P S D,SW-Surface Water,38.800692,-80.341754,03, WV,"5,327",,,,,,5.5,,,,,,,,,,,,,,5.5
Entry Point Facility,,WV3305405,MINERAL WELLS PSD,SW-Surface Water,39.159807,-81.477309,03, WV,"5,674",,,,,,5.4,,,,,,,,,13.2,,,,,18.6
Entry Point Facility 1,EP,TX2450006,SEBASTIAN MUD,SW-Surface Water,26.342669,-97.791614,06, TX,-,,,,,,7.8,,,,,4.4,,,,,,4.2,,,16.4
Entry Point Facility 2,EP,TX2450006,SEBASTIAN MUD,SW-Surface Water,26.342669,-97.791614,06, TX,-,,,,,,7.8,,,,,4.3,,,,,,,,,12.1
Entry Point Facility 3,EP,TX2450006,SEBASTIAN MUD,SW-Surface Water,26.342669,-97.791614,06, TX,-,,,,,,7.1,,,,,4.3,,,,,,4.2,,,15.6
Entry Point Facility Well 14,EP,WI6420254,TOMAH WATERWORKS,GW-Groundwater,43.98839,-90.503545,05, WI,"9,192",,,,,,,,,,,,3.2,,,,,,,,3.2
Entry Point Facility Well 6,EP,WI6420254,TOMAH WATERWORKS,GW-Groundwater,43.98839,-90.503545,05, WI,"9,192",,,,,,,,,,,3.7,5.7,,,,,4.7,,,14.1
Entry Point for NS4,EP,090600147,Rincon Northern,GW-Groundwater,33.251828,-117.002794,09,Other,"7,003",,,,,,,3.4,,,,5.9,,,,5.6,8.9,5,,,28.8
Entry Point for TP005 and wells 1A & 2A,EP,090605163,Chukchansi Gold Resort,GW-Groundwater,37.217571,-119.731069,09,Other,"5,000",,,,,,,11.9,,,,3.5,,,,4.8,,5,,,25.2
Entry Point for Well 2B,EP,090600158,Viejas Community System,GW-Groundwater,32.813624,-116.726969,09,Other,"9,500",,,,,,,24.3,,,,,,,,,,,,,24.3
ENTRY POINT ONE,EP,PA1090329,JAMIE HOLLANDERS,GW-Groundwater,40.351048,-74.998049,03, PA,150,,,,,,,4,,,,3.1,,,,8.3,9.7,3.2,,,28.3
EP 111 AWC 1 AND 2,EP,PA1460055,AUDUBON WATER COMPANY,GW-Groundwater,40.140941,-75.432987,03, PA,"9,850",,,,,,,3.6,,,,,,,,4.7,4.8,,,,13.1
EP001,EP,TX1290025,TALTY SUD,SW-Surface Water,32.704481,-96.411371,06, TX,"12,852",,,,,,6.2,,,,,3.1,,,,,,,,,9.3
EPCOR WATER NEW MEXICO INC  CLOVIS,EP,NM3527305,EPCOR WATER NEW MEXICO INC  CLOVIS,GW-Groundwater,34.373093,-103.165073,06, NM,"41,066",,,,,,,4.3,,,,,,,,,,,,,4.3
EPDS 004,EP,AZ0403003,ARIZONA WATER CO - SEDONA,GW-Groundwater,34.850652,-111.766961,09, AZ,"12,104",,,,,,,19.1,,,4.8,10,5.6,,,9.4,4.4,10.3,,,63.6
EPDS 006,EP,AZ0411009,ARIZONA WATER CO - PINAL VALLEY,GW-Groundwater,32.883834,-111.75678,09, AZ,"113,334",,,,,,,8.7,,,,,,,,,,,,,8.7
EPDS 017,EP,AZ0411009,ARIZONA WATER CO - PINAL VALLEY,GW-Groundwater,32.883834,-111.75678,09, AZ,"113,334",,,,,,19.2,86.4,,,7.7,16,5.6,,,,,18.8,,,153.7
EPDS 018,EP,AZ0411009,ARIZONA WATER CO - PINAL VALLEY,GW-Groundwater,32.883834,-111.75678,09, AZ,"113,334",,,,,,19.9,91.1,,,8.3,17.3,5.9,,,,,19.9,,,162.4
EPDS001,EP,AZ0407092,"GILBERT, TOWN OF","MX-Any combination of GW, SW, and GU",33.309758,-111.746235,09, AZ,"247,600",,,,,,,15.3,,,,,,,,,,,,,15.3
EPDS002,EP,AZ0402078,US ARMY FORT HUACHUCA,GW-Groundwater,31.562518,-110.340536,09, AZ,"15,603",,,,,,,,,,,3.6,7.8,,,6.2,5.9,,,,23.5
EPDS003,EP,AZ0402078,US ARMY FORT HUACHUCA,GW-Groundwater,31.562518,-110.340536,09, AZ,"15,603",,,,,,,,,,,3.8,11.2,,,,,4.5,,,19.5
EPDS003,,AZ0403008,FLAGSTAFF CITY OF,"MX-Any combination of GW, SW, and GU",35.186723,-111.617298,09, AZ,"76,960",,,,,,6.1,,,,,,,,,,,,,,6.1
EPDS004,EP,AZ0402078,US ARMY FORT HUACHUCA,GW-Groundwater,31.562518,-110.340536,09, AZ,"15,603",,,,,,,,,,,3.3,,,,,,4,,,7.3
EPDS005,EP,AZ0402078,US ARMY FORT HUACHUCA,GW-Groundwater,31.562518,-110.340536,09, AZ,"15,603",,,,,,,,,,,3.1,,,,,,3.9,,,7
EPDS006,EP,AZ0402078,US ARMY FORT HUACHUCA,GW-Groundwater,31.562518,-110.340536,09, AZ,"15,603",,,,,,,,,,,,,,,,,3,,,3
EPDS006,,AZ0409023,PONDEROSA DWID,GW-Groundwater,34.111082,-109.87908,09, AZ,"5,375",,,,,,,3.6,,,,,,,,,,,,,3.6
EPDS008,EP,AZ0407088,City of Avondale,"MX-Any combination of GW, SW, and GU",33.446048,-112.313655,09, AZ,"83,001",,,,,,,7.7,,,,,,,,,,,,,7.7
EPDS013- ID#21843,EP,AZ0407100,TEMPE CITY OF,GW-Groundwater,33.387705,-111.932477,09, AZ,"165,000",,,,,,,7.6,,,4.8,9,11.4,,,9.5,20,7.5,,,69.8
EPDS014- ID#21844,EP,AZ0407100,TEMPE CITY OF,GW-Groundwater,33.387705,-111.932477,09, AZ,"165,000",,,,,,,5.1,,,,,,,,,5.1,,,,10.2
EPDS018,EP,AZ0407094,GOODYEAR WATER DEPARTMENT,GW-Groundwater,33.32721,-112.410086,09, AZ,"50,001",,,,,,,3.3,,,,,6.1,,4.3,4.8,7.9,,,,26.4
EPDS060,EP,AZ0410051,FLOWING WELLS IRRIGATION DISTRICT,GW-Groundwater,32.278386,-110.999948,09, AZ,"16,000",,,,,,,,,,,,5,,,,,,,,5
EPDS071,EP,AZ0410051,FLOWING WELLS IRRIGATION DISTRICT,GW-Groundwater,32.278386,-110.999948,09, AZ,"16,000",,,,,,,4,,,,3,8,,,5,4,3,,,27
EPHRATA INTERCONNECT,EP,PA7360128,AKRON BOROUGH,GW-Groundwater,40.157846,-76.203239,03, PA,"4,200",,,,,,,3.2,,,,,,,,,,3.1,,,6.3
Essex Fells connection,EP,NJ0703001,CALDWELL WATER DEPT,SW-Surface Water,40.83892,-74.277666,02, NJ,"9,027",,,,,,,3.2,,,3.6,4.6,4.8,,,15.4,,4.5,,,36.1
Evening Star WTP,EP,VA6107650,"ROUND HILL, TOWN OF",GW-Groundwater,39.135952,-77.766064,03, VA,"5,019",,,,,,,8.3,,,,,,,,,,3.5,,,11.8
EXPERIMENTAL,EP,PR0004604,EXPERIMENTAL,GW-Groundwater,18.04645,-66.495142,02, PR,"4,888",,,,,,38.4,30.1,,,8.3,153.4,,,,12.9,4.1,71.6,,,318.8
EXXON MOBIL BAYTOWN REFINERY,EP,TX1011562,EXXON MOBIL BAYTOWN REFINERY,SW-Surface Water,29.736716,-95.000847,06, TX,"7,000",,,,,,10.1,,,,,,,,,,,,,,10.1
Fairfax Vault - FCWA,EP,VA6153251,PWCSA - WEST,SW-Surface Water,38.802706,-77.614883,03, VA,"136,409",,,,,,,,,,,3.6,,,,,,5,,,8.6
Fairfield WTP,EP,OH0900715,FAIRFIELD CITY PWS,GW-Groundwater,39.333817,-84.537656,05, OH,"44,907",,,,,,,,,,,,,,,,,3.6,,,3.6
Fallings Springs Booster Station,EP,IL1635000,CAHOKIA HEIGHTS,SW-Surface Water,38.567454,-90.179569,05, IL,"15,250",,,,,,10.7,,,,,,,,,,,,,,10.7
FARMERVILLE WATER SYSTEM,EP,LA1111005,FARMERVILLE WATER SYSTEM,GW-Groundwater,32.774705,-92.399979,06, LA,"5,400",,,,,,,,,,3.2,,,,,,,4,,,7.2
Farmland Drive Treatment,EP,PA7360124,ELIZABETHTOWN AREA WATER,GW-Groundwater,40.150155,-76.585346,03, PA,"19,000",,,,,,,4.1,,,,3.1,,,,,,3.3,,,10.5
Fate Pump Station,EP,TX1160018,CASH SUD,SW-Surface Water,32.993447,-96.066344,06, TX,"21,891",,,,,,,,,,,3.1,,,,,,3.1,,,6.2
Fayette County,EP,GA1130003,FAYETTEVILLE,SW-Surface Water,33.443001,-84.466788,04, GA,"15,281",,,,,,,3.4,,,3,5.7,3.7,,,,4.4,7.3,,,27.5
Fayetteville/Harnett Co. Intertie,EP,NC5026019,OLD NORTH UTILITIES SERVICES/FT BRAGG,SW-Surface Water,35.172951,-78.847464,04, NC,"65,000",,,,,,5.2,,,,,4.5,,,,5,8.3,5.1,,,28.1
Fellows Road GP Well,EP,MA3144000,IPSWICH DPU  WATER DEPT,GW-Groundwater,42.692496,-70.898572,01, MA,"13,809",,,,,,,,,,,10.7,,,,5.5,,10.8,,,27
Fernley Water TP,EP,NV0000062,FERNLEY PUBLIC WORKS,GW-Groundwater,39.590478,-119.209744,09, NV,"23,064",,,,,,,,,,,,,,,,5.6,,,,5.6
FESTUS PWS,EP,MO6010276,FESTUS PWS,GU-Groundwater Under Influence of Surface Water,38.20122,-90.412082,07, MO,"12,054",,,,,,8.4,,,,,,,,,,,,,,8.4
Filter Plant,EP,PA1150166,PA AMERICAN ROYERSFORD,SW-Surface Water,40.189391,-75.525152,03, PA,"48,253",,,,,,5.4,3.4,,,,4.3,,,,4.2,,5.5,,,22.8
Filter Plant,,PA7210046,STATE CORRECTIONAL INST,SW-Surface Water,40.218692,-76.921804,03, PA,"3,500",,,,,,,3.8,,,,,,,,,4.2,3.4,,,11.4
Filter Plant,,PA7360045,EPHRATA AREA JOINT AUTHORITY,SW-Surface Water,40.18675,-76.185341,03, PA,"24,500",,,,,,,4.1,,,,4.8,,,,5.2,,5.8,,,19.9
Filter Plant,,PA7360124,ELIZABETHTOWN AREA WATER,"MX-Any combination of GW, SW, and GU",40.150155,-76.585346,03, PA,"19,000",,,,,,11.5,,,,,,,,,,,,,,11.5
Filter Plant,,TN0000107,TENNESSEE AMERICAN WATER,SW-Surface Water,35.03494,-85.270658,04, TN,"190,067",,,,,,8.5,8.1,,,,,,,,,,,,,16.6
Filter Plant,,TN0000369,FIRST UTIL DIST OF KNOX COUNTY,SW-Surface Water,35.889449,-84.127864,04, TN,"95,628",,,,,,,6.4,,,,,,,,,,,,,6.4
Finished Water YLWD Treatment,EP,CA3010037,YORBA LINDA WATER DISTRICT,GW-Groundwater,33.893526,-117.770227,09, CA,"84,054",,,,,,17.5,,,,,,,,,,,4.2,,,21.7
Firehouse,EP,OR4100508,MARCOLA WATER DISTRICT,GW-Groundwater,44.174161,-122.861936,10, OR,600,,,,,,,,,,,,,,,,5,,,,5
Firestation (Wells 1 & 2),EP,TX1300001,CITY OF BOERNE,GW-Groundwater,29.765953,-98.733223,06, TX,"22,287",,,,,,6.6,9,,,,3.8,8.1,,,,7.1,3.3,,,37.9
First Colony WTP,EP,TX0790005,CITY OF SUGAR LAND,"MX-Any combination of GW, SW, and GU",29.603102,-95.625107,06, TX,"90,909",653,,3.3,,,58.3,5.7,,,3.6,12.9,,,,,,355,,,1091.8
FIRST TAP,EP,PA2400115,EEI MEADOWS COMPLEX,GW-Groundwater,41.341089,-75.970488,03, PA,628,,,,,,,3.9,,,,,,,,,5.9,,,,9.8
FIRST U.D. OF HARDIN COUNTY,EP,TN0000546,FIRST U.D. OF HARDIN COUNTY,SW-Surface Water,35.048729,-88.301182,04, TN,"7,181",,,,,,5.4,4.8,,,,3.2,,,,6.5,12,,,,31.9
"Fitch 1, 2, 5 & 6 TP",EP,CA4910005,"HEALDSBURG, CITY OF",GU-Groundwater Under Influence of Surface Water,38.616522,-122.863831,09, CA,"11,174",,,,,,,4.7,,3.1,,,4.5,,,,,,,,12.3
Five Star,EP,AL0000013,"MARBURY WATER SYSTEM, INC.",SW-Surface Water,32.594041,-86.469719,04, AL,"8,670",,,,,,9.2,39,,,4,11,,,,9.6,12,18,,,102.8
FLORENCE TWP W DEPT,EP,NJ0315001,FLORENCE TWP W DEPT,GW-Groundwater,40.110846,-74.791547,02, NJ,"11,214",,,,,,5.8,,,,4.1,5.6,5,,7.3,13.2,11.4,6.2,,,58.6
FLORHAM PARK WATER DEPT,EP,NJ1411001,FLORHAM PARK WATER DEPT,GW-Groundwater,40.778627,-74.387088,02, NJ,"8,846",,,,,,,,,,,,,,,16.9,,,,,16.9
Florham Park Water Dept.,EP,NJ1411001,FLORHAM PARK WATER DEPT,GW-Groundwater,40.778627,-74.387088,02, NJ,"8,846",,,,,,,,,,,,,,,12.5,,,,,12.5
FLOWERS PLANTATION,EP,NC0351195,FLOWERS PLANTATION,SW-Surface Water,35.665489,-78.346722,04, NC,"10,704",,,,,,,4.3,,,3.1,8.3,,,,7.5,8.1,6.1,,,37.4
Forest Oaks Plant,EP,FL3480204,"OCOEE, CITY OF (2 WPS)",GW-Groundwater,28.573476,-81.532967,04, FL,"34,000",,,,,,,6.9,,,3.6,6.8,4,,,12,9.9,10,,,53.2
Forge Village WTP,EP,MA3330000,WESTFORD WATER DEPARTMENT,GU-Groundwater Under Influence of Surface Water,42.587188,-71.450201,01, MA,"18,112",,,,,,,,,,,,,,,4.5,,,,,4.5
FORNEY LAKE WSC,EP,TX1290014,FORNEY LAKE WSC,SW-Surface Water,32.794017,-96.476743,06, TX,"16,188",,,,,,9.1,3.2,,,,4.3,,,,,,4.5,,,21.1
FORSYTH,EP,GA2070001,FORSYTH,SW-Surface Water,33.047871,-83.965591,04, GA,"8,585",,,,,,,,,,,,,,,,6.1,4.9,,,11
Fort Belvoir North Area,EP,VA6059455,FORT BELVOIR NORTH AREA,SW-Surface Water,38.699353,-77.157497,03, VA,"11,822",,,,,,17.2,8,,,5.7,16.6,,,,7.1,5,21.3,,,80.9
FORT BEND COUNTY MUD 118,EP,TX0790366,FORT BEND COUNTY MUD 118,SW-Surface Water,29.653078,-95.732182,06, TX,"5,403",,,,,,7.8,3.2,,,,6.3,3.1,,,,,6.7,,,27.1
FORT BEND COUNTY MUD 134C,EP,TX0790533,FORT BEND COUNTY MUD 134C,GW-Groundwater,29.659258,-95.68742,06, TX,"7,266",,,,,,5.5,,,,,3.9,,,,,,4,,,13.4
FORT BEND COUNTY MUD 142,EP,TX0790429,FORT BEND COUNTY MUD 142,SW-Surface Water,29.669219,-95.827623,06, TX,"9,447",7.9,,,,,,4,,,,9.1,3.8,,,,,7.9,,,32.7
Fort Bend County MUD 165,EP,TX0790470,FORT BEND COUNTY MUD 165,"MX-Any combination of GW, SW, and GU",29.669097,-95.73681,06, TX,"4,326",,,,,,,,,,,5.8,,,,,,6,,,11.8
FORT BEND COUNTY MUD 35,EP,TX0790433,FORT BEND COUNTY MUD 35,GW-Groundwater,29.717265,-95.797124,06, TX,"6,297",,,,,,6.3,,,,,4.2,,,,,,3.7,,,14.2
FORT BEND COUNTY MUD 41,EP,TX0790229,FORT BEND COUNTY MUD 41,SW-Surface Water,29.649867,-95.667163,06, TX,"4,230",62.7,,,,,,4.5,,,,9.3,4,,,,,8,,,88.5
FORT BEND COUNTY MUD 50,EP,TX0790277,FORT BEND COUNTY MUD 50,SW-Surface Water,29.691115,-95.764234,06, TX,"6,054",,,,,,,,,,,7.7,,,,,,8.6,,,16.3
Fort Benning Water Plant,EP,GA2150000,COLUMBUS,SW-Surface Water,32.503211,-84.93585,04, GA,"229,000",,,,,,,,,,,3.5,,,,8.5,,3.4,,,15.4
Fort Scott,EP,KS2001104,"FORT SCOTT, CITY OF",SW-Surface Water,37.831209,-94.703443,07, KS,"7,513",,,,,,10.1,,,,,,,,,,,,,,10.1
Fort Worth Hollis Purchase,EP,TX2200014,CITY OF HALTOM CITY,SW-Surface Water,32.820457,-97.27914,06, TX,"46,260",,,,,,6.3,3.8,,,,7.4,18,,,4.5,5.9,4.7,,,50.6
Fort Worth Water Intertie,EP,TX0570048,CITY OF GRAND PRAIRIE,SW-Surface Water,32.688141,-97.020974,06, TX,"187,050",,,,,,5.8,,,,,,,,,,,,,,5.8
Fort Worth Water Intertie,,TX1260002,CITY OF BURLESON,SW-Surface Water,32.524794,-97.348552,06, TX,"49,089",,,,,,5,,,,,,,,,,,,,,5
Fort Worth Water Intertie,,TX2200014,CITY OF HALTOM CITY,SW-Surface Water,32.820457,-97.27914,06, TX,"46,260",,,,,,,,,,,,3,,,,,,,,3
Fort Worth Water Intertie,,TX2200023,CITY OF SAGINAW,SW-Surface Water,32.866463,-97.365928,06, TX,"24,450",,,,,,8.1,,,,,3.2,,,,,,3.4,,,14.7
Fort Worth Water Intertie,,TX2200081,CITY OF WHITE SETTLEMENT,SW-Surface Water,32.752231,-97.460201,06, TX,"18,269",,,,,,6.1,3,,,,5,9.1,,,,4.9,3.8,,,31.9
Fort Worth Water Intertie,,TX2200328,CITY OF WATAUGA,SW-Surface Water,32.871698,-97.251529,06, TX,"23,660",,,,,,6.1,3.2,,,,3.5,,,,,,3.4,,,16.2
Fountain Water Connection,EP,CO0121900,WIDEFIELD WSD,"MX-Any combination of GW, SW, and GU",38.730775,-104.71031,08, CO,"27,053",,,,,,,,,,,,,,,,,5.1,,,5.1
Four Seasons Pumping Station,EP,NJ1616001,WOODLAND PARK  WATER DEPARTMENT,SW-Surface Water,40.888418,-74.195013,02, NJ,"6,000",,,,,,,,,,,4.7,,,,6.8,4.9,5,,,21.4
FOX RIVER GROVE,EP,IL1110200,FOX RIVER GROVE,GW-Groundwater,42.200097,-88.206254,05, IL,"4,702",,,,,,5.2,,,,,3.7,4.5,,,,,5.6,,,19
Frankfort Plant Board,EP,KY0370128,FARMDALE WATER DISTRICT,SW-Surface Water,38.128548,-84.934677,04, KY,"8,203",28.6,,,,,,,,,,3.6,,,,,,9.2,,,41.4
